,Loan_ID,Loan_Status,Married,Property_Area,Self_Employed,ApplicantIncome,CoapplicantIncome,Credit_History,Dependents,Education,Gender,LoanAmount,Loan_Amount_Term,ApplicantIncome_log,CoapplicantIncome_log,LoanAmount_log,TotalIncome,TotalIncome_log,Loan_Ratio,Family_Size,Income_Per_Capita,Loan_Per_Month,Loan_PM_TotInc,Loan_PM_TotInc_log,LoanAmount_Per_Capita,LoanAmount_Per_Capita_log,Loan_PM_PCapita,Loan_PM_PCapita_log
0,LP001002,1,0,2,0,5849,0.0,1.0,0,0,1,126.0,360.0,8.674025985443025,0.0,4.836281906951478,5849.0,8.674025985443025,0.021542143956231833,1,5849.0,0.35,5.983928876731065e-05,-9.723848109941704,0.021542143956231833,3.070011200490589,16.247222222222224,2.7879219539928703
1,LP001003,0,1,0,0,4583,1508.0,1.0,1,0,1,128.0,360.0,8.430109084509125,7.318539548567902,4.852030263919617,6091.0,8.714567550836485,0.0210146117222131,3,2030.3333333333333,0.35555555555555557,5.837392145059195e-05,-9.748641318367023,0.0630438351666393,4.143830280733379,5.639814814814815,1.7298512307182192
2,LP001005,1,1,2,1,3000,0.0,1.0,0,0,1,66.0,360.0,8.006367567650246,0.0,4.189654742026425,3000.0,8.006367567650246,0.022,2,1500.0,0.18333333333333332,6.111111111111111e-05,-9.702816857073977,0.044,3.784189633918261,4.166666666666667,1.4271163556401458
3,LP001006,1,1,2,0,2583,2358.0,1.0,0,1,1,120.0,360.0,7.8567067930958405,7.765569081097317,4.787491742782046,4941.0,8.50532301884575,0.024286581663630843,2,2470.5,0.3333333333333333,6.7462726843419e-05,-9.60393530751386,0.048573163327261686,3.8830711834783784,6.8625,1.926071806835649
4,LP001008,1,0,2,0,6000,0.0,1.0,0,0,1,141.0,360.0,8.699514748210191,0.0,4.948759890378168,6000.0,8.699514748210191,0.0235,1,6000.0,0.39166666666666666,6.527777777777778e-05,-9.636858889282179,0.0235,3.1570004211501135,16.666666666666668,2.8134107167600364
5,LP001011,1,1,2,1,5417,4196.0,1.0,2,0,1,267.0,360.0,8.597297435657898,8.341886969516187,5.58724865840025,9613.0,9.170871628065816,0.027774888172266723,4,2403.25,0.7416666666666667,7.715246714518534e-05,-9.469727001115722,0.11109955268906689,4.710426670436461,6.675694444444445,1.8984732354957699
6,LP001013,1,1,2,0,2333,1516.0,1.0,0,1,1,95.0,360.0,7.75491027202143,7.323830566202317,4.553876891600541,3849.0,8.255568653283746,0.024681735515718367,2,1924.5,0.2638888888888889,6.856037643255103e-05,-9.587795793133361,0.049363471031436734,3.899210697858877,5.345833333333334,1.6763174412736452
7,LP001014,0,1,1,0,3036,2504.0,0.0,3,0,1,158.0,360.0,8.01829613851552,7.825644732219989,5.062595033026967,5540.0,8.61974977974133,0.02851985559566787,5,1108.0,0.4388888888888889,7.922182109907742e-05,-9.443258778164518,0.14259927797833935,4.960038444701874,3.077777777777778,1.1242078358570735
8,LP001018,1,1,2,0,4006,1526.0,1.0,2,0,1,168.0,360.0,8.295548516225763,7.330405211844402,5.123963979403259,5532.0,8.61830469278465,0.03036876355748373,4,1383.0,0.4666666666666667,8.435767654856591e-05,-9.380444744831546,0.12147505422993492,4.799708926720638,3.841666666666667,1.3459063002146026
9,LP001020,0,1,1,0,12841,10968.0,1.0,1,0,1,349.0,360.0,9.460398455831275,9.30273722124215,5.855071922202427,23809.0,10.077818939438902,0.014658322483094628,3,7936.333333333333,0.9694444444444444,4.0717562453040634e-05,-10.108851048686631,0.043974967449283885,3.783620550413772,22.04537037037037,3.093102619320637
